label,facets,points,closed_solid,has_nonmanifold,has_nonuniform_orientation,has_invalid_points,components,volume_mm3,dx_mm,dy_mm,dz_mm
T8-10 - neuro_sympathetic_ball-4,3774,1889,True,False,False,False,1,145.1693,4.376,5.89,15.359
T8-10 - neuro_sympathetic_ball-5,3774,1889,True,False,False,False,1,144.9401,4.359,6.961,14.945
T8-10 - neuro_sympathetic_ball-6,3774,1889,True,False,False,False,1,144.8802,4.311,5.249,15.657
T8-10 - neuro_sympathetic_ball-7,3774,1889,True,False,False,False,1,145.1667,4.377,5.314,15.608
T8-10 - neuro_sympathetic_ball-8,3774,1889,True,False,False,False,1,145.1979,4.376,4.87,15.788
T8-10 - neuro_sympathetic_c-1,9426,4715,True,False,False,False,1,22.1198,8.754,15.429,11.255
T8-10 - neuro_sympathetic_c-2,9426,4715,True,False,False,False,1,21.8203,8.754,16.807,8.966
T8-10 - neuro_sympathetic_c-3,9426,4715,True,False,False,False,1,21.9089,8.754,17.498,7.322
T8-10 - neuro_sympathetic_c-4,9426,4715,True,False,False,False,1,21.6771,8.754,18.33,4.072
T8-10 - neuro_sympathetic_c-5,9426,4715,True,False,False,False,1,21.5312,4.463,19.516,5.04
T8-10 - neuro_sympathetic_c-6,9426,4715,True,False,False,False,1,22.0156,3.433,19.636,5.11
T8-10 - neuro_sympathetic_c-7,9426,4715,True,False,False,False,1,21.3854,3.38,19.7,4.794
T8-10 - neuro_sympathetic_c-8,9426,4715,True,False,False,False,1,21.2188,2.313,18.342,9.345
T8-10 - neuro_sympathetic_d-1,2892,1448,True,False,False,False,1,19.6979,3.777,17.403,8.105
T8-10 - neuro_sympathetic_d-2,2892,1448,True,False,False,False,1,19.8333,3.777,14.699,12.855
T8-10 - neuro_sympathetic_d-3,2892,1448,True,False,False,False,1,19.5599,2.957,17.28,8.964
T8-10 - neuro_sympathetic_d-4,2892,1448,True,False,False,False,1,19.5651,3.777,18.627,2.14
T8-10 - neuro_sympathetic_d-5,2892,1448,True,False,False,False,1,19.7083,3.777,18.421,3.609
T8-10 - neuro_sympathetic_d-6,2892,1448,True,False,False,False,1,19.625,3.777,18.421,3.609
T8-10 - neuro_sympathetic_d-7,2892,1448,True,False,False,False,1,18.1146,3.777,17.949,6.321
T8-10 - neuro_sympathetic_d-8,2892,1448,True,False,False,False,1,19.5,3.777,17.403,8.105
T8-10 - neuro_whitemater-1,10770,5385,True,False,False,False,1,2295.4949,8.254,22.813,103.72
